epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2034,2.04411,2.83618,1.59807,0.0319,0.75599,0.25463,0.10324,1.42779,3.03838,1.46399,0.00026,0.00026,0.00026
2,62.1161,1.43653,1.57793,1.24939,0.03872,0.91438,0.61412,0.32368,1.1927,2.76476,1.33076,0.000536436,0.000536436,0.000536436
3,85.8358,1.26785,1.39322,1.14332,0.98592,0.23983,0.59409,0.33734,1.18713,2.34361,1.28495,0.000809176,0.000809176,0.000809176
4,113.938,1.24197,1.27599,1.10081,0.77868,0.42473,0.63211,0.3439,1.31753,2.14295,1.42401,0.00107822,0.00107822,0.00107822
5,143.35,1.20042,1.22758,1.09244,0.73071,0.67837,0.76711,0.45378,1.356,1.70004,1.58422,0.00134357,0.00134357,0.00134357
6,171.481,1.19408,1.2071,1.08362,0.88508,0.88527,0.9237,0.58387,1.25468,1.40275,1.40163,0.00160522,0.00160522,0.00160522
7,198.082,1.15409,1.10558,1.07658,0.8134,0.89726,0.88793,0.5662,1.2196,1.40357,1.38019,0.00186318,0.00186318,0.00186318
8,221.681,1.16728,1.13242,1.0802,0.7348,0.86815,0.75315,0.46593,1.39453,2.43052,1.84899,0.0019076,0.0019076,0.0019076
9,249.711,1.13306,1.03822,1.06112,0.88494,0.87072,0.92368,0.55213,1.37312,1.32502,1.49296,0.0018944,0.0018944,0.0018944
10,275.847,1.12937,0.99063,1.06087,0.77336,0.88613,0.82851,0.53831,1.11376,2.01715,1.25624,0.0018812,0.0018812,0.0018812
11,301.216,1.07604,0.94408,1.04958,0.85035,0.89031,0.9076,0.59297,1.15422,1.85566,1.34185,0.001868,0.001868,0.001868
12,327.047,1.09978,0.93524,1.0477,0.92992,0.94294,0.97147,0.64939,1.12961,1.17275,1.23756,0.0018548,0.0018548,0.0018548
