epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1621,4.12853,3.59418,2.95865,0.70018,0.07719,0.0253,0.00722,2.40228,4.52622,1.80741,0.00014,0.00014,0.00014
2,52.6103,2.37757,2.17731,1.74144,0.22141,0.09917,0.05981,0.02188,2.32627,7.71389,1.83287,0.000287129,0.000287129,0.000287129
3,83.2555,2.02054,1.92177,1.60702,0.3915,0.11897,0.0628,0.02587,1.83411,9.06823,1.68928,0.000431288,0.000431288,0.000431288
4,119.029,1.83497,1.73955,1.48995,0.22507,0.11511,0.06531,0.02814,1.80978,4.65265,1.56662,0.000572477,0.000572477,0.000572477
5,153.397,1.8114,1.77982,1.48512,0.09136,0.29146,0.0948,0.04301,1.98465,3.86318,1.54673,0.000710696,0.000710696,0.000710696
6,188.649,1.77644,1.78927,1.45801,0.06375,0.31403,0.10523,0.05679,1.75349,6.18731,1.48066,0.000845945,0.000845945,0.000845945
7,223.587,1.64658,1.56406,1.42834,0.39211,0.11611,0.07652,0.03429,1.82432,5.02002,1.50853,0.0009406,0.0009406,0.0009406
8,253.755,1.63929,1.59,1.406,0.07537,0.30863,0.12829,0.05984,1.9041,4.31546,1.5494,0.0009307,0.0009307,0.0009307
9,287.505,1.67827,1.53627,1.37036,0.29519,0.23989,0.18211,0.07895,2.08483,2.42697,1.60837,0.0009208,0.0009208,0.0009208
10,320.009,1.8049,1.60083,1.43227,0.3295,0.23612,0.24702,0.12895,1.56668,1.49672,1.3308,0.0009109,0.0009109,0.0009109
11,350.271,1.53892,1.47039,1.29209,0.3295,0.23612,0.24702,0.12895,1.56668,1.49672,1.3308,0.000901,0.000901,0.000901
12,382.691,1.48926,1.47147,1.31025,0.68004,0.25977,0.22047,0.11852,1.60287,1.52605,1.38088,0.0008911,0.0008911,0.0008911
13,407.986,1.49009,1.30595,1.29932,0.48116,0.26121,0.16365,0.08997,1.45921,3.01703,1.32167,0.0008812,0.0008812,0.0008812
14,431.359,1.51231,1.33073,1.30646,0.74935,0.22559,0.2695,0.1401,1.61025,1.41023,1.32475,0.0008713,0.0008713,0.0008713
15,465.747,1.42132,1.20362,1.22994,0.74043,0.25464,0.28529,0.16055,1.42007,1.25063,1.27453,0.0008614,0.0008614,0.0008614
16,494.57,1.37049,1.17845,1.23721,0.74491,0.28888,0.28601,0.16484,1.4237,1.22478,1.25744,0.0008515,0.0008515,0.0008515
17,554.209,1.36848,1.15695,1.22832,0.73827,0.27914,0.29357,0.16351,1.56868,1.32091,1.27575,0.0008416,0.0008416,0.0008416
18,578.27,1.37905,1.2084,1.23229,0.73239,0.30223,0.26925,0.16031,1.37037,1.47241,1.26645,0.0008317,0.0008317,0.0008317
